,year,title
6116,2020,CASTE / A Global Journal on Social Exclusion
6125,2019,Journal of Hydrologic Engineering
6126,2019,Environmental Communication
6127,2017,Rural China
6128,2019,Journal of African Economies
6129,2017,Educational and Psychological Measurement
6136,2017,Public Finance Review
6146,2022,Health Promotion Perspectives
6149,2021,The Journal of Economic History
6151,2020,Journal of Public Health Policy
6154,2021,Ohio Journal of Public Health
6159,2018,Food science text series
6160,2017,Journal of Community Psychology
6161,2018,BioControl
6162,2021,Cities and the Environment
6163,2019,Natural Resource Modeling
6164,2017,The International Trade Journal
6165,2019,Resonance
6166,2018,BioEssays
6168,2023,Ecosphere
6169,2019,Sustainability The Journal of Record
6170,2020,Theory & Practice in Rural Education
6171,2019,Rural Society
6172,2021,The urban book series
6174,2017,Journal of Entomological Science
6175,2018,Barbastella
6176,2019,Health & Place
6181,2018,Information and Learning Sciences
6182,2022,Du Bois Review Social Science Research on Race
6183,2019,Defence and Peace Economics
6185,2022,Frontiers in Sustainable Cities
6186,2022,PDXScholar  (Portland State University)
6187,2018,Amsterdam University Press eBooks
6193,2018,Population Ecology
6194,2019,Extreme weather and society
6197,2017,Water History
6203,2017,Econstor (Econstor)
6204,2018,Population and Environment
6205,2020,BioResources
6208,2018,Journal of Pediatric Psychology
6212,2021,Journal of Applied Communications
6213,2023,European Journal of Environment and Public Health
6219,2017,Journal of Applied Volcanology
6221,2024,Water Resources Management
6225,2018,Applied Soil Ecology
6231,2021,Language Variation and Change
6235,2018,Digital Scholarship - UNLV (University of Nevada Reno)
6246,2018,International Studies Quarterly
6247,2018,Ethnic and Racial Studies
6248,2017,Review of Regional Studies
6249,2018,Journal of Co-operative Organization and Management
6253,2023,Landscape and Urban Planning
6254,2023,Pure (Coventry University)
6256,2023,Kent Academic Repository (University of Kent)
6257,2019,American Educational Research Journal
6265,2018,Fennia
6267,2023,Journal of Geochemical Exploration
6268,2023,Institutional Repository of the University of Granada (University of Granada)
6270,2019,Journal of School Health
6274,2017,Forest Science
6289,2020,AIDS Care
6291,2020,Carolina Digital Repository (University of North Carolina at Chapel Hill)
6299,2017,Journal of Business Anthropology
6307,2022,Land Use Policy
6309,2018,South African Geographical Journal
6310,2018,Geomorphology
6311,2022,Agricultural and Resource Economics International Scientific E-Journal
6313,2017,Journal of African Diaspora Archaeology and Heritage
6314,2019,Fire
6316,2019,MDPI (MDPI AG)
6317,2019,Munich Personal RePEc Archive (Ludwig Maximilian University of Munich)
6318,2020,Papers on Engineering Education Repository (American Society for Engineering Education)
6319,2017,Health Promotion Practice
6327,2017,University of Hawaii Press eBooks
6328,2017,Center for International and Regional Studies (Georgetown University)
6330,2022,American Antiquity
6332,2018,Frontiers in Plant Science
6337,2018,Applied Environmental Education & Communication
6339,2017,Health & Place
6343,2023,Insects
6347,2024,Fire
6348,2018,Demography
6351,2022,REGION
6354,2022,Social Science Open Access Repository (GESIS – Leibniz Institute for the Social Sciences)
6356,2018,Annals of GIS
6357,2023,Academia Biology
6358,2021,Frontiers in Ecology and Evolution
6361,2023,The Science of The Total Environment
6369,2017,Population Space and Place
6370,2024,Ecology and Evolution
6373,2023,SoftwareX
6376,2017,International Encyclopedia of Geography
6377,2023,Journal of Advances in Modeling Earth Systems
6385,2021,Humanities and Social Sciences Communications
6389,2022,Transboundary and Emerging Diseases
6392,2018,The Professional Geographer
6395,2018,Japanese Studies
6399,2019,Environmental Policy and Governance
6400,2023,RAND Corporation eBooks
6407,2022,Nutrients
6412,2017,Biodiversity and Conservation
6416,2017,Health Promotion Perspectives
6425,2020,Environmental Health Perspectives
6439,2017,Harper Adams University Repository (GuildHE Research)
6440,2021,Frontiers in Forests and Global Change
6447,2019,Rothamsted Repository (Rothamsted Repository)
6450,2019,ISU Red - Research and eData (Illinois State University)
6454,2017,The HKU Scholars Hub (University of Hong Kong)
6455,2024,Energies
6463,2021,Agricultural and Resource Economics Review
6467,2019,ThinkTech (Texas Tech University)
6469,2021,Journal of International Development
6471,2023,The Journal of Economic Perspectives
6474,2017,Transdisciplinary Journal of Engineering & Science
6478,2022,Journal of Surgical Oncology
6488,2023,Journal of Homeland Security and Emergency Management
6489,2018,Journal of Social Service Research
6496,2020,Invasive Plant Science and Management
6502,2023,Deep Blue (University of Michigan)
6503,2020,Anthurium A Caribbean Studies Journal
6504,2019,Scientific investigations report
6505,2019,Frontiers of Engineering Management
6506,2019,Hispanic Journal of Behavioral Sciences
6516,2018,Risk Management and Insurance Review
6517,2019,Risk Analysis
6520,2022,Journal of Clinical Oncology
6522,2020,International Journal of Environmental Impacts
6523,2020,Online Journal of Rural Nursing and Health Care
6524,2019,Ecology of Food and Nutrition
6527,2017,Studies in Conflict and Terrorism
6528,2021,Supportive Care in Cancer
6530,2018,Public Relations Inquiry
6531,2024,Trauma Surgery & Acute Care Open
6534,2022,Journal of Forestry
6538,2017,Ambiente & sociedade
6541,2018,Journal of Agricultural & Food Information
6542,2023,Journal of Clinical Oncology
6543,2019,Translational Behavioral Medicine
6547,2020,JMIR Cancer
6555,2019,Agrosystems Geosciences & Environment
6562,2019,North Carolina Medical Journal
6564,2017,Latino Studies
6569,2017,Sex Roles
6570,2017,The International Food and Agribusiness Management Review
6574,2021,Ornitología Neotropical
6575,2022,ACM Transactions on Computing for Healthcare
6578,2021,Economic Commentary (Federal Reserve Bank of Cleveland)
6585,2018,European Journal of Nutrition
6587,2019,International Journal of Education
6591,2023,Food Security
6592,2018,International Journal of Trend in Scientific Research and Development
6595,2019,Law & Policy
6598,2017,Journal of Applied Communications
6599,2017,Socio-Economic Planning Sciences
6605,2021,Value in Health
6606,2021,Insects
6607,2021,Aquila Digital Community (University of Southern Mississippi)
6608,2021,Lincoln (University of Nebraska)
6615,2017,Insect Conservation and Diversity
6616,2018,The Social History of Alcohol and Drugs
6617,2022,Journal of Geoscience and Environment Protection
6621,2021,Endocrine Connections
6625,2019,Public Library Quarterly
6626,2020,Evolutionary Applications
6630,2019,Journal of Immigrant and Minority Health
6633,2017,Journal of Nutrition in Gerontology and Geriatrics
6635,2022,Journal of Medical Entomology
6638,2019,Socius Sociological Research for a Dynamic World
6647,2022,Frontiers in Sports and Active Living
6649,2022,Aquila Digital Community (University of Southern Mississippi)
6651,2022,TopScholar (Western Kentucky University)
6652,2022,TopSCHOLAR (Western Kentucky University)
6654,2018,Early Childhood Research Quarterly
6655,2023,International Journal of Behavioral Nutrition and Physical Activity
6664,2019,Public Health Nursing
6667,2018,Natural Resource Modeling
6668,2020,Nature Food
6673,2019,International Journal of Colorectal Disease
6680,2018,Knowledge and space
6681,2019,Global Ecology and Conservation
6682,2018,Christian Higher Education
6685,2021,Sustainable and Resilient Infrastructure
6686,2021,Open Research Exeter (University of Exeter)
6690,2017,Perspectives on Science
6691,2018,Journal of Community Psychology
6695,2023,Frontiers in Public Health
6698,2017,Education Economics
6699,2017,Journal of Regulatory Economics
6702,2021,Viruses
6707,2019,Agriculture Ecosystems & Environment
6709,2021,European Economic Review
6710,2021,Data Archiving and Networked Services (DANS)
6711,2021,EUR Research Repository (Erasmus University Rotterdam)
6712,2021,Surrey Open Research repository (University of Surrey)
6713,2018,The Journal of STEM Outreach
6714,2017,Ecological Informatics
6719,2022,Cureus
6722,2019,San Francisco Estuary and Watershed Science
6733,2018,Development and Psychopathology
6737,2023,Digital Commons - University of Nebraska Lincoln (University of Nebraska–Lincoln)
6741,2018,Transactions of the American Entomological Society
6745,2023,First Monday
6746,2021,Journal of Official Statistics
6760,2019,Oxford University Press eBooks
6763,2018,Urban Agriculture & Regional Food Systems
6765,2018,Journal of Hydrology
6766,2019,Maternal and Child Health Journal
6773,2017,Science and Public Policy
6774,2022,Experimental and Applied Acarology
6777,2023,Education Sciences
6778,2017,Atlantic Studies
6779,2018,Chronic Illness
6780,2018,TechTrends
6782,2019,Sociological Perspectives
6783,2023,Transnational Environmental Law
6784,2024,Obstetrics and Gynecology
6785,2020,The Annals of Regional Science
6794,2021,Wildlife Biology
6796,2020,arXiv (Cornell University)
6798,2023,Antibiotics
6805,2019,Vascular
6812,2019,Forest Science
6813,2018,Population genomics
6814,2019,American Politics Research
6815,2023,Transportation
6819,2022,Applied Spatial Analysis and Policy
6822,2022,RePEc: Research Papers in Economics
6824,2021,PLoS Biology
6826,2023,Arctic Science
6827,2023,DOAJ (DOAJ: Directory of Open Access Journals)
6829,2022,Circulation
6830,2018,Transactions of the Institute of British Geographers
6831,2024,Food Research International
6832,2024,Repository for Publications and Research Data (ETH Zurich)
6836,2022,SURFACE: the Syracuse University Research Facility and Collaborative Environment (Syracuse University)
6837,2019,Crop Science
6840,2023,Deleted Journal
6841,2017,Journal of Educational Administration & History
6842,2022,Annals of Allergy Asthma & Immunology
6848,2018,The Electricity Journal
6850,2017,American Journal of Health Behavior
6853,2021,Cureus
6860,2018,The American Sociologist
6863,2020,Maritime Policy & Management
6864,2020,Digital Commons - URI (University of Rhode Island)
6866,2017,Journal of International Medical Research
6873,2024,Bone Marrow Transplantation
6876,2017,Journal of Political Ecology
6878,2021,CRC Press eBooks
6885,2022,iScience
6895,2017,Primary Care Clinics in Office Practice
6897,2021,Adolescent Research Review
6903,2019,Transportation Research Interdisciplinary Perspectives
6906,2017,Journal of Spatial Science
6908,2023,Journal of Environmental Studies and Sciences
6909,2017,Journal of Ethnic and Migration Studies
6910,2022,PLOS Sustainability and Transformation
6911,2022,TUScholarShare (Temple University)
6912,2017,Ecological Restoration
6919,2022,Urban Ecosystems
6925,2023,"AgEcon Search (University of Minnesota, USA)"
6926,2019,IEEE Annals of the History of Computing
6927,2017,Focaal
6928,2020,Current Developments in Nutrition
6931,2022,Regional Environmental Change
6937,2018,Journal of Exposure Science & Environmental Epidemiology
6940,2017,The Latin Americanist
6941,2018,Statistics in Medicine
6946,2021,Maryland Shared Open Access Repository (USMAI Consortium)
6947,2017,Journal of Applied Gerontology
6949,2022,Geospatial health
6952,2017,Invasive Plant Science and Management
6953,2023,Agricultural and Food Economics
6954,2023,Cambridge Journal of Regions Economy and Society
6955,2022,Progress in Disaster Science
6957,2022,Injury Epidemiology
6959,2022,Data Archiving and Networked Services (DANS)
6965,2021,BORDER CROSSING
6967,2018,ScholarWorks @ Georgia State University (Georgia State University)
6968,2018,Counseling And Psychological Services Dissertations (Georgia State University)
6971,2017,International review of research in developmental disabilities
6972,2022,Journal of risk and financial management
6976,2023,RSF The Russell Sage Foundation Journal of the Social Sciences
6977,2023,Project Muse (Johns Hopkins University)
6983,2022,Public Health Nutrition
6986,2018,Race Ethnicity and Education
6987,2017,Journal of Youth Development
6988,2017,Proceedings of the Association for Information Science and Technology
6991,2018,Politics and Governance
6993,2018,Social Science Open Access Repository (GESIS – Leibniz Institute for the Social Sciences)
6995,2018,Natural sciences education
6996,2017,Research in Social and Administrative Pharmacy
7005,2018,VOLUNTAS International Journal of Voluntary and Nonprofit Organizations
7015,2022,Journal of Healthy Eating and Active Living
7017,2019,Journal of Planning and Land Management
7020,2017,Journal of Primary Care & Community Health
7026,2019,BMC Cancer
7031,2019,Labour
7034,2019,Library Resources and Technical Services
7040,2019,The Annals of Regional Science
7041,2021,Public Health Nutrition
7044,2020,EDIS
7046,2023,Infectious Diseases in Obstetrics and Gynecology
7049,2023,International Security
7050,2021,Anthropology & Aging
7051,2021,"Anthropology & Aging (Association for Anthropology, Gerontology, and the Life Course)"
7053,2017,animal
7057,2021,Naval Research Logistics (NRL)
7058,2021,DSpace@MIT (Massachusetts Institute of Technology)
7060,2023,Nature Communications
7063,2018,Landscape Ecology
7065,2024,Scientific Reports
7068,2017,American Journal of Sociology
7075,2022,Journal of Student Research
7076,2020,Journal of the Faculty of Agriculture Kyushu University
7077,2023,People and Nature
7078,2018,American Journal of Health Behavior
7080,2017,The Journal of Economic History
7081,2020,Journal of Human Sciences and Extension
7087,2019,ScholarWorks - UA (University of Alaska System)
7092,2021,Upjohn Research (W.E. Upjohn Institute for Employment Research)
7106,2019,Twin Research and Human Genetics
7109,2018,Journal of African Economies
7111,2018,Public Library Quarterly
7117,2017,Journal of Applied Statistics
7122,2020,Journal of Clinical and Translational Science
7125,2017,Ecological Entomology
7126,2017,VCU Scholars Compass (Virginia Commonwealth University)
7127,2023,Geoderma
7129,2023,International Migration Review
7130,2023,ePrints Soton (University of Southampton)
7131,2017,Frontiers in ICT
7132,2024,BMC Medicine
7135,2017,Journal of Marketing for HIGHER EDUCATION
7136,2022,ISEE Conference Abstracts
7137,2017,The Urban Review
7140,2023,The Qualitative Report
7141,2021,ISPRS International Journal of Geo-Information
7143,2021,eLife
7151,2017,Journal of the Indian Ocean Region
7158,2022,Nature Communications
7161,2021,Journal of Technical Education and Training
7162,2021,International Journal of Sustainable Construction Engineering and Technology (Universiti Tun Hussein Onn Malaysia)
7163,2019,Estuaries and Coasts
7170,2023,EuroChoices
7171,2023,Repository for Publications and Research Data (ETH Zurich)
7172,2017,Journal of Entrepreneurship and Public Policy
7173,2019,Plant Ecology
7177,2018,Journal of Clinical Anesthesia
7181,2018,Sociological Spectrum
7184,2023,Land Economics
7188,2023,Urban Ecosystems
7189,2020,Human Behavior and Emerging Technologies
7194,2019,Journal of the American College of Cardiology
7196,2017,Landscape Ecology
7197,2020,Journal of Citrus Pathology
7198,2022,Journal of Public and Nonprofit Affairs
7201,2017,Evaluation and Program Planning
7204,2018,Rural Society
7205,2017,American Entomologist
7208,2019,URBAN DESIGN International
7209,2018,Forest Science
7212,2018,International Journal of Housing Markets and Analysis
7213,2019,Asia-Pacific Journal of Regional Science
7214,2024,Collabra Psychology
7215,2024,PsyArXiv (OSF Preprints)
7218,2017,Journal of Nonprofit & Public Sector Marketing
7219,2019,Energy Sustainability and Society
7222,2018,Quarterly Journal of Finance
7225,2020,Working paper
7226,2020,Human Relations
7227,2020,DR-NTU (Nanyang Technological University)
7228,2017,Quality Innovation Prosperity
7229,2018,Politics &amp Policy
7234,2017,Journal of Heredity
7236,2023,Class Race Corporate Power
7237,2020,Texas Water Journal
7240,2022,American Journal of Botany
7243,2019,Maine policy review
7249,2024,Annual Review of Entomology
7253,2023,Journal of Zoological and Botanical Gardens
7254,2018,Children & Society
7255,2020,The Energy Journal
7256,2020,Lancaster EPrints (Lancaster University)
7264,2023,Journal of Humanitarian Logistics and Supply Chain Management
7265,2021,University of Pittsburgh Law Review
7271,2017,Texas Water Journal
7275,2020,Duo Research Archive (University of Oslo)
7276,2018,The Elementary School Journal
7281,2024,Informatics
7288,2017,Research in Applied Economics
7291,2018,Environmental Policy and Governance
7292,2021,Purdue Journal of Service-Learning and International Engagement
7293,2017,Cogent Social Sciences
7294,2020,American Journal of Archaeology
7295,2020,CentAUR (University of Reading)
7296,2017,Nursing Research
7301,2017,PS Political Science & Politics
7306,2023,Ecological Applications
7310,2019,American Journal of Pharmaceutical Education
7316,2023,Nutrition Journal
7317,2023,INDIGO (University of Illinois at Chicago)
7320,2018,Adult Education Quarterly
7321,2018,Poverty & Public Policy
7323,2017,Remote Sensing Letters
7324,2018,International Journal of Prisoner Health
7326,2020,ACM SIGKDD Explorations Newsletter
7328,2021,Pathogens
7332,2020,Journal of Artificial Societies and Social Simulation
7335,2021,Cronfa (Swansea University)
7336,2021,Bangor University Research Portal (Bangor University)
7346,2017,OECD Economics Department working papers
7347,2022,Medical Research Archives
7348,2017,International Journal of Social Economics
7352,2017,International Journal of Sediment Research
7353,2017,Critical Sociology
7363,2019,Agrekon
7364,2019,UpSpace Institutional Repository (University of Pretoria)
7365,2023,Journal of Equine Veterinary Science
7366,2022,Production and Operations Management
7367,2022,DSpace@MIT (Massachusetts Institute of Technology)
7368,2021,IZA Journal of Labor Economics
7370,2021,DigitalCommons - CalPoly (California State Polytechnic University)
7373,2023,Annual Review of Virology
7375,2019,Pipelines 2019
7376,2020,Agriculture and Human Values
7383,2018,Toxicological & Environmental Chemistry Reviews
7385,2018,Chinese Journal of Urban and Environmental Studies
7386,2019,Children
7390,2017,Cuadernos de Administración
7396,2017,InTech eBooks
7397,2021,Statistical Journal of the IAOS
7398,2023,Urban Science
7399,2019,Journal of Veterinary Medical Education
7407,2019,Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences
7408,2019,ScholarSpace (University of Hawaii at Manoa)
7409,2019,AIS Electronic Library (AISeL) (Association for Information Systems)
7410,2022,Environment Development and Sustainability
7412,2022,Epsilon Open Archive (Sveriges lantbruksuniversitet biblioteket (Swedish University of Agricultural Sciences))
7413,2023,EPJ Data Science
7415,2018,Avian Conservation and Ecology
7425,2022,Socio-Ecological Practice Research
7429,2017,Journal of Foodservice Business Research
7431,2023,Journal of Rural Social Sciences
7432,2018,The Journal of Rural Health
7437,2018,Current World Environment
7438,2023,Public Choice
7439,2021,Maya America Journal of Essays Commentary and Analysis
7444,2020,IWA Publishing eBooks
7446,2020,Lirias (KU Leuven)
7453,2021,ScholarWorks@UMassAmherst (University of Massachusetts Amherst)
7454,2023,Food Protection Trends
7457,2023,Journal of Food Protection
7464,2020,Metropolitan Universities
7465,2021,BMC Health Services Research
7469,2020,medRxiv (Cold Spring Harbor Laboratory)
7470,2020,2020 ASEE Virtual Annual Conference Content Access Proceedings
7472,2018,Government and Opposition
7473,2024,Knowledge and space
7477,2019,College & Research Libraries
7478,2019,Deleted Journal
7480,2022,Proceedings of the ... Annual Hawaii International Conference on System Sciences/Proceedings of the Annual Hawaii International Conference on System Sciences
7481,2022,ScholarSpace (University of Hawaii at Manoa)
7482,2022,AIS Electronic Library (AISeL) (Association for Information Systems)
7485,2024,Restoration Ecology
7486,2017,Coastal Management
7488,2023,Clinical and Molecular Hepatology
7497,2018,Journal of Landscape Ecology
7503,2023,GeoJournal
7512,2024,International Journal of Sustainable Transportation
7514,2017,Administration
7516,2017,"Cork Open Research Archive (University College Cork, Ireland)"
7521,2019,"White Rose Research Online (University of Leeds, The University of Sheffield, University of York)"
7523,2019,CU Scholar (University of Colorado Boulder)
7524,2019,cIRcle (University of British Columbia)
7528,2020,Natural Areas Journal
7529,2023,Human Ecology
7530,2021,Global Security Review
7534,2017,Regional Science Policy & Practice
7536,2017,Children and Youth Services Review
7537,2017,UST Research Online (University of St. Thomas - Minnesota)
7539,2024,Nature Cities
7540,2023,Harvard Data Science Review
7541,2019,"Federal Reserve Bank of Dallas, Working Papers"
7544,2019,Publication Server of Goethe University Frankfurt am Main (Goethe University Frankfurt)
7553,2017,Human Ecology
7558,2017,International Journal of Cartography
7559,2017,Kansas Law Review
7569,2022,Philosophical Transactions of the Royal Society B Biological Sciences
7573,2022,Climate
7578,2018,The Reference Librarian
7579,2019,Water International
7580,2023,HortTechnology
7581,2022,Spanish Journal of Soil Science
7583,2024,GeoHealth
7587,2019,Journal of Economy Culture and Society
7588,2019,DergiPark (Istanbul University)
7590,2018,The Review of Corporate Finance Studies
7592,2017,Case Studies on Transport Policy
7593,2018,Journal of Urban History
7596,2018,Upjohn Research (W.E. Upjohn Institute for Employment Research)
7606,2021,Open Health
7607,2017,Journal of Forestry
7613,2020,NERC Open Research Archive (Natural Environment Research Council)
7614,2019,Journal of Urban Affairs
7619,2022,Illinois Natural History Survey bulletin/Bulletin - Illinois Natural History Survey
7620,2019,Crime & Delinquency
7622,2018,IOP Conference Series Earth and Environmental Science
7624,2023,BMC Public Health
7627,2017,The Journal of African History
7628,2018,Journal of Economics Race and Policy
7631,2022,Telecommunications Policy
7632,2022,eYLS (Yale Law School)
7634,2017,Exceptionality
7642,2021,Frontiers in Political Science
7649,2023,Arabian Journal of Geosciences
7652,2022,Journal of Human Sciences and Extension
7653,2018,Journal of Library Administration
7654,2023,Journal of Forestry
7655,2018,Contemporary Clinical Trials
7660,2019,Canadian Geographies / Géographies canadiennes
7661,2021,Journal of Physical Education and Sport
7662,2018,MCN The American Journal of Maternal/Child Nursing
7664,2024,Ecosphere
7665,2017,Journal of Mountain Science
7667,2018,The MIT Press eBooks
7668,2018,DSpace@MIT (Massachusetts Institute of Technology)
7673,2017,Journal of Sustainable Forestry
7674,2022,Deleted Journal
7678,2022,University of Michigan Press eBooks
7679,2022,Digital Collections portal (Koç University)
7681,2021,Biodiversity Data Journal
7686,2020,The Permanente Journal
7699,2023,Journal of Agricultural Safety and Health
7701,2020,Economic bulletin
7707,2019,Landscape series
7708,2017,The Wilson Journal of Ornithology
7709,2019,Journal of Apicultural Science
7711,2023,Clinical Nutrition
7713,2022,Social Sciences
7720,2023,Journal of Human Sciences and Extension
7727,2017,Current Cardiovascular Risk Reports
7728,2018,Humboldt Journal of Social Relations
7729,2023,Biological Invasions
7730,2018,Revue Scientifique et Technique de l OIE
7731,2022,Forests
7736,2023,Open Forum Infectious Diseases
7737,2023,Digital Commons - Becker  (Washington University in St. Louis)
7738,2023,Digital Commons@Becker (Washington University School of Medicine)
7741,2020,Journal of Geoscience and Environment Protection
7745,2023,Epidemiology
7749,2021,Proceedings on Engineering Sciences
7752,2023,JAWRA Journal of the American Water Resources Association
7753,2023,Montana State University ScholarWorks (Montana State University)
7754,2022,The Journal of Economic Perspectives
7755,2019,ANU Press eBooks
7756,2019,"Library Union Catalog of Bavaria, Berlin and Brandenburg (B3Kat Repository)"
7759,2020,The Social Science Journal
7760,2021,Urban Planning
7763,2021,Social Science Open Access Repository (GESIS – Leibniz Institute for the Social Sciences)
7768,2018,The Latin Americanist
7769,2020,ARCTIC
7770,2021,Discovery Research Portal (University of Dundee)
7772,2021,WestminsterResearch (University of Westminster)
7773,2021,UCL Discovery (University College London)
7775,2022,Health Economics
7776,2022,Deep Blue (University of Michigan)
7784,2017,New Prairie Press (Kansas State University)
7785,2018,Journal of Marriage and Family
7786,2019,Physician Assistant Clinics
7787,2018,Systematic Botany
7788,2018,Science Technology & Human Values
7792,2022,Journal of Racial and Ethnic Health Disparities
7799,2024,Toxics
7802,2023,Annual Review of Economics
7803,2021,Amsterdam University Press eBooks
7804,2021,Directory of Open access Books (OAPEN Foundation)
7809,2022,Revista de Neuro-Psiquiatría
7810,2023,Frontiers in Nutrition
7813,2021,IEEE Access
7815,2018,Journal of Language and Politics
7820,2018,Health Education Journal
7821,2020,Renewable and Sustainable Energy Reviews
7822,2020,Publication Server of the Wuppertal Institute (Wuppertal Institute)
7824,2020,Strathprints: The University of Strathclyde institutional repository (University of Strathclyde)
7825,2020,White Rose Research Online (University of Leeds)
7827,2022,Proceedings of the 30th International Conference on Advances in Geographic Information Systems
7828,2019,American Journal of Perinatology
7829,2017,Journal of Human Trafficking
7832,2017,Journal for the Scientific Study of Religion
7836,2019,China and WTO Review
7837,2018,Proceedings of the Human Factors and Ergonomics Society Annual Meeting
7841,2017,Journal of Children and Poverty
7844,2019,Journal of Community Practice
7845,2019,Journal of Behavioral and Experimental Economics
7846,2017,Journal of Contemporary Water Research & Education
7847,2021,Journal of Accounting Ethics & Public Policy
7848,2023,London School of Economics and Political Science Research Online (London School of Economics and Political Science)
7849,2018,Advances in Life Sciences
7850,2022,Journal of Population Economics
7853,2022,Indian Journal of Science and Technology
7854,2017,International Criminal Justice Review
7856,2019,Stochastic Environmental Research and Risk Assessment
7862,2023,AL-MUKHTAR JOURNAL OF SCIENCES
7863,2020,Journal of Environmental Protection
7864,2017,Social Currents
7866,2017,OAPEN (The OAPEN Foundation)
7867,2017,Directory of Open access Books (OAPEN Foundation)
7868,2018,Journal of Archaeological Science Reports
7872,2024,Frontiers in Public Health
7873,2024,eScholarship (California Digital Library)
7880,2022,"Federal Reserve Bank of Dallas, Working Papers"
7881,2018,Southeastern Naturalist
7882,2021,Cambridge University Press eBooks
7886,2019,Journal of Interpersonal Violence
7889,2020,Review of Regional Studies
7890,2017,Housing and Society
7891,2021,Class Race Corporate Power
7892,2023,JAMA Health Forum
7896,2021,Publishing House of the University of Agriculture in Krakow eBooks
7901,2017,Midcontinental Journal of Archaeology
7902,2021,Development Engineering
7905,2023,Society & Natural Resources
7911,2023,Foods
7914,2020,Frontiers in Ecology and Evolution
7916,2021,The American Historical Review
7920,2020,Repositorio Institucional E-DocUR (Universidad Del Rosario)
7923,2023,International Journal of Professional Business Review
7924,2018,Cambridge University Press eBooks
7925,2021,Journal of Human Sciences and Extension
7930,2024,Discover Mental Health
7933,2023,Data Archiving and Networked Services (DANS)
7934,2023,VU Research Portal
7937,2021,Qualitative Inquiry
7939,2017,International Journal of Hospitality & Tourism Administration
7940,2017,Southern Economic Journal
7941,2018,Journal of the Asia Pacific Economy
7942,2023,Cancer Epidemiology Biomarkers & Prevention
7943,2021,Journal of Fish and Wildlife Management
7945,2017,Social Forces
7951,2020,Social Work and Social Welfare
7954,2021,Balkanologie
7955,2018,Critique of Anthropology
7959,2022,Journal of Social Computing
7961,2018,Historia
7962,2018,Journal of Developmental and Physical Disabilities
7963,2022,Health Psychology and Behavioral Medicine
7965,2022,INDIGO (University of Illinois at Chicago)
7966,2022,KOPS (University of Konstanz)
7980,2023,Frontiers in Forests and Global Change
7981,2023,Pathogens
7983,2021,Journal of Cultural Analytics
7985,2024,The Accounting Review
7986,2017,FEDS Notes
7992,2017,American Educational Research Journal
7993,2020,EarthArXiv (California Digital Library)
7994,2020,EarthArXiv (OSF Preprints)
7996,2023,Oxford University Research Archive (ORA) (University of Oxford)
7999,2017,Political Studies
8000,2017,Cambridge University Press eBooks
8001,2017,Canadian Journal of Remote Sensing
8002,2017,bioRxiv (Cold Spring Harbor Laboratory)
8008,2017,Police Quarterly
8009,2017,OpenSIUC (Southern Illinois University Carbondale)
8010,2017,International Journal of Migration Health and Social Care
8013,2024,Cancer Medicine
8017,2024,Cancer Research Communications
8019,2019,Atmospheric Environment X
8021,2017,International Journal of Dharma Studies
8024,2018,International Migration Review
8027,2023,Online Journal of Rural Nursing and Health Care
8028,2023,IMF Working Paper
8031,2019,Obesity
8035,2019,BMJ Open
8041,2023,Soil Systems
8044,2022,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
8046,2022,Open Repository and Bibliography (University of Luxembourg)
8047,2022,Research Publications (Maastricht University)
8050,2023,The Annals of Regional Science
8053,2017,Revista de ciencia política
8055,2022,Maine policy review
8056,2018,Asian/Pacific Island Nursing Journal
8061,2024,PLoS ONE
8064,2024,Current Developments in Nutrition
8071,2024,Health Affairs Scholar
8077,2023,Bristol University Press eBooks
8078,2023,Directory of Open access Books (OAPEN Foundation)
8079,2018,Economica
8080,2018,Research Portal (King's College London)
8081,2024,RePEc: Research Papers in Economics
8082,2021,Diversity and Distributions
8084,2022,Advancements in Agricultural Development
8090,2020,The Qualitative Report
8091,2020,ScholarWorks (Walden University)
8094,2019,Project Euclid (Cornell University)
8095,2019,Journal of Human Sciences and Extension
8099,2024,Agricultural and Resource Economics Review
8100,2023,Frontiers in Research Metrics and Analytics
8105,2023,Maternal and Child Health Journal
8108,2022,Review of Regional Studies
8109,2022,International Journal of Translational Medical Research and Public Health
8110,2024,Politics &amp Policy
8111,2023,Forest Ecology and Management
8112,2020,EPiC series in built environment
8113,2023,Health Economics and Management Review
8114,2023,Electronic Sumy State University Institutional Repository (Sumy State University)
8115,2019,Social Currents
8119,2024,Water
8120,2019,The RAND Journal of Economics
8121,2019,Lirias (KU Leuven)
8126,2023,The Journal of Economic History
8129,2023,Medical Research Archives
8130,2021,Revista Brasileira de Economia
8132,2021,LA Referencia (Red Federada de Repositorios Institucionales de Publicaciones Científicas)
8133,2019,The International Journal of Health Planning and Management
8135,2017,Studies in Engineering and Technology
8137,2022,Journal of Bioethical Inquiry
8144,2019,Annual Review of Developmental Psychology
8151,2021,Perspectives on Politics
8152,2018,Journal of Evidence-Informed Social Work
8154,2022,Journal of Family Strengths
8155,2020,Journal of Organization Design
8163,2019,Estudos Sociedade e Agricultura
8164,2019,Redalyc (Universidad Autónoma del Estado de México)
8165,2023,Health Affairs Scholar
